time_s,axis1,axis2,axis3,axis4,intake_action,outtake_action,left_cmd,right_cmd,x_in,y_in,heading_deg,auton_section,auton_step
0.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.140,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.160,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.180,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.200,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.220,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.240,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.260,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.280,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.300,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.320,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.340,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.360,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.380,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.400,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.420,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.440,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.460,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.480,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.500,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
